2025-05-30 11:55:59,737 - INFO - MainProcess - Main process started. Server listening on 0.0.0.0:8889
2025-05-30 11:55:59,741 - INFO - MainProcess - Submitted 1 worker processes to the pool.
2025-05-30 11:55:59,754 - INFO - ForkProcess-1 - Worker process 13230 started and is ready to accept connections.
2025-05-30 11:57:00,781 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42222)
2025-05-30 11:57:16,729 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57290)
2025-05-30 11:57:18,982 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57290)
2025-05-30 11:57:19,624 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57300)
2025-05-30 11:57:21,879 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57300)
2025-05-30 11:57:21,879 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57314)
2025-05-30 11:57:24,147 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57314)
2025-05-30 11:57:24,147 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57326)
2025-05-30 11:57:26,313 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57326)
2025-05-30 11:57:26,314 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57340)
2025-05-30 11:57:28,436 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57340)
2025-05-30 11:57:28,436 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 57352)
2025-05-30 11:57:30,572 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 57352)
2025-05-30 11:57:35,653 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33310)
2025-05-30 11:57:41,264 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33310)
2025-05-30 11:57:41,266 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33324)
2025-05-30 11:57:43,744 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33324)
2025-05-30 11:57:43,744 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33338)
2025-05-30 11:57:46,060 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33338)
2025-05-30 11:57:46,061 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33352)
2025-05-30 11:57:48,297 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33352)
2025-05-30 11:57:48,298 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33362)
2025-05-30 11:57:50,618 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33362)
2025-05-30 11:57:50,619 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33378)
2025-05-30 11:57:52,996 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33378)
2025-05-30 11:57:52,997 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33392)
2025-05-30 11:57:55,278 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33392)
2025-05-30 11:57:55,278 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33398)
2025-05-30 11:57:57,590 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33398)
2025-05-30 11:57:57,590 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33408)
2025-05-30 11:57:59,809 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33408)
2025-05-30 11:57:59,810 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33418)
2025-05-30 11:58:02,179 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33418)
